Structure [idcode]	Structure No	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from Structure No	LLE from Structure No	LELP from Structure No	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	
fchb@BJ\Dle`dLbbbRtVRbbRTJRSAIsWl}pPPuUMTuSETCD@@	99	385.442	385.442	385.191403	2.5696	-4.711	7	4	288.92	0.28877	94.62	-1.7794	0.34318	4.4348	7.4875	none	none	none	low		0.53571	0.38844	0.8598	1	28	8	0	8	1	4	4	4	1	6	10	0	2	0	0	0	0	1	0	racemate	
fa{I@@DLUTFQSQQISFIKJIHViJCEoV``X`@jjHhIh@@	100	320.395	320.395	320.163711	2.8188	-4.803	5	3	247.72	0.2613	83.8	1.2325	0.40013	4.1812	7.0447	none	none	none	none		0.58333	0.37038	0.83766	1	24	5	0	5	1	3	4	4	3	15	6	2	1	1	1	0	2	2	0	racemate	
f`iI@@DLUXFQSQQISFHViJ]yhHFIhd@@	101	212.212	212.212	212.069811	-0.0328	-2.28	5	2	158.43	0.40889	84.13	0.95413	0.59983	7.0285	-0.054682	none	none	none	none		0.5625	0.31567	0.82134	1	16	5	0	5	0	2	3	3	2	9	0	0	1	0	0	0	2	1	0		
eodZLH@AHbjanNk`ICHhheDXddmDeEDedfIKGFimghHFJjijejibjBr`@	102	427.478	427.478	427.201968	1.5558	-3.483	8	3	317.77	0.27869	102.9	6.0768	0.3094	5.4356	5.0285	none	none	none	none		0.54839	0.47205	0.88167	1	31	9	0	9	1	5	4	4	1	6	10	0	2	0	0	0	0	0	0	racemate	
fewIb@BASeVa`dDfYYy_yYUVRLxm^s``hZjZfibh@@	103	358.372	358.372	358.144119	1.6829	-4.306	7	2	260.04	0.2848	83.03	-0.58036	0.36868	5.3043	4.5647	none	none	none	none		0.5	0.40071	0.88107	1	26	8	0	8	0	3	4	4	1	6	8	0	1	0	0	0	0	0	0		
eod\LL@JnahMK`@`RP|dLdffRbLtTVVTRbRRxdbRfVN^Z@HfB@ijZfBh@J@@	104	443.473	443.473	443.111518	2.3948	-5.262	6	2	313.05	0.26587	106.84	3.3432	0.30903	4.5882	7.7495	none	none	none	none		0.48387	0.45337	0.90219	1	31	9	0	9	1	5	4	4	2	12	6	0	0	0	0	0	0	0	0	racemate	
el^ZLH@A@hbanNg`ICHhheDXddmDeEDehedVIG@jimohTXHFJjijYjjZhj`@@	105	481.570	481.570	481.248918	3.698	-3.965	8	1	359.75	0.2022	85.32	4.0434	0.27355	3.2808	13.519	none	none	none	low		0.54286	0.499	0.88922	1	35	9	0	9	0	3	5	5	1	6	14	4	3	0	0	0	0	0	0		
fj}q@@DDDAIeeU~UvirV`qZfZj@Bj`@@	106	283.374	283.374	283.168462	2.7446	-3.814	4	2	224.88	0.21109	53.49	4.1167	0.45564	4.2301	6.0236	none	none	none	none		0.57143	0.41644	0.79383	1	21	4	0	4	0	3	3	3	1	6	7	3	0	0	0	0	0	0	0		
fcpb@AQKqXICHhheDThdeEeLddrP\u{O\DCEA@qMTpT@@	107	377.418	377.418	377.153955	3.8766	-5.21	5	2	285.48	0.21196	70.56	-1.5581	0.34153	3.094	11.351	none	none	none	low		0.53571	0.40621	0.86221	1	28	6	0	6	0	4	4	4	2	12	5	2	1	0	0	0	0	0	0		
eghZD@@DBBjm`LlbbTRRVtRTtLTVreGDf`RWTsTsUPACUUUTP@@	108	409.532	409.532	409.247775	0.9652	-2.455	7	1	318.63	0.18736	68.25	3.7704	0.31858	6.0014	3.0297	none	none	none	low		0.53333	0.46345	0.86954	1	30	7	0	7	0	6	4	4	1	6	14	1	0	1	1	0	0	1	0		
fmoH`@DDEDATfVUWyV~yVgIZBfZvifj`BI`@h@@@	109	360.416	360.416	360.158626	2.7051	-4.455	6	3	276.83	0.25998	82.59	4.6833	0.35377	4.2575	7.6465	none	none	none	none		0.55556	0.4064	0.82844	1	27	6	0	6	0	4	4	4	2	12	4	2	1	0	0	0	0	0	0		
fnkI@@DDbTBSKJk|k_MNRtEIZmSMU@DUUECI@@	110	310.400	310.400	310.179361	2.252	-3.034	5	2	234.94	0.20865	56.5	1.4072	0.41506	4.7066	5.4257	low	low	high	low	oxiran/aziridine	0.56522	0.43183	0.8227	1	23	5	0	5	1	4	4	4	1	6	9	0	0	0	0	0	0	1	0	racemate	
fegHb@AFBg`pRFQQQJHiIQPjIIIdlu{NBAbjiijfJ@@	111	358.416	358.416	358.180504	1.8871	-3.655	6	2	274.3	0.23354	73.8	-0.32212	0.36696	5.0676	5.1425	low	none	none	low	methanediamine	0.53846	0.47435	0.85557	1	26	7	0	7	0	5	3	3	1	6	9	1	1	0	0	0	0	1	0		
fcpb@FIKIXJsHhdimMDeBheDdeScoU{O\@QL@EMMTpT@@	112	485.320	485.320	485.060025	4.2129	-5.912	5	2	305.41	0.19813	70.56	0.20281	0.34056	2.7379	12.371	none	none	none	low		0.53571	0.41431	0.85449	1	28	6	0	6	0	4	4	4	2	12	5	0	1	0	0	0	0	0	0		
eghRDD@HBfnbC`HarPrJJFIKJJKKJIQIIRJAQCS[WUL@DDASTuLE@@@	113	426.878	426.878	426.125881	1.6953	-5.465	6	2	309.7	0.20685	73.8	3.8309	0.31768	5.2516	5.3365	low	none	none	none	Cl,Br,I on N,O,P,S,Se,I	0.53333	0.43088	0.87589	1	30	8	0	8	0	4	4	4	2	12	5	2	0	0	0	0	0	0	0		
fcHb@AArWbpRFQQQJHiIQQYQIKIdoIkv^xHFJjfjZibh@@	114	384.454	384.454	384.196154	2.4329	-4.508	6	3	288.46	0.2495	82.59	2.5156	0.34018	4.5102	7.1518	none	none	none	none		0.57143	0.45366	0.85945	1	28	7	0	7	0	5	4	4	1	6	10	1	1	0	0	0	0	0	0		
figpb@B^bkhICHhheEheUDhddfRtYIVc``hZiijfJ`@@	115	341.385	341.385	341.153955	2.6539	-4.402	5	1	252.34	0.20845	61.77	0.67371	0.3808	4.2854	6.9694	none	none	none	low		0.48	0.38488	0.86592	1	25	6	0	6	0	3	4	4	1	6	8	0	1	0	0	0	0	0	0		
ek`\DH@ALjnM`ICHhheDThddmLhddfI@dfaechHFJBBFfjXJ@@@	116	391.445	391.445	391.169605	4.331	-5.48	5	2	299.24	0.20221	70.56	-1.5581	0.32809	2.6045	13.2	none	none	none	low		0.55172	0.4463	0.85083	1	29	6	0	6	0	5	4	4	2	12	6	2	1	0	0	0	0	0	0		
ffcHb@BF]zQPRBSLknrrjlDFNZpPPtuMSE@@@	117	302.308	302.308	302.117904	0.9913	-3.768	6	3	225.21	0.31957	82.59	3.0834	0.43226	5.9405	2.2933	none	none	none	none		0.54545	0.42961	0.83354	1	22	7	0	7	0	3	3	3	1	6	4	0	1	0	0	0	0	0	0		
eod\L@@DBB`LglbbTRRVtRTtJRbRrhxdtBRvNZfZj@HZh@Jh@@@	118	417.507	417.507	417.205242	3.318	-4.708	6	3	326.76	0.22527	90.79	0.19391	0.3066	3.6101	10.822	none	none	none	low		0.6129	0.47019	0.83685	1	31	6	0	6	0	7	4	4	2	12	9	2	1	0	0	0	0	0	0		
fnkp`@DLTCNQSQQISFIKJIBuIPXuZtDCD@EMDH@@	119	303.320	303.320	303.100777	2.8744	-5.497	5	2	231.67	0.29084	84.91	0.91505	0.41302	4.0501	6.9594	low	none	none	none		0.56522	0.36042	0.83644	1	23	5	0	5	0	3	4	4	4	20	0	2	1	0	0	0	2	1	0		
edVVLH@A@djfknAo`ICHhheDXdddhlhhdmDlqHEEtl\B}CA@qUUSUKUTtUTDq@@	120	468.531	468.531	468.228517	1.2488	-3	9	3	343.59	0.26808	106.14	6.164	0.27925	5.672	4.472	none	none	none	none		0.52941	0.46242	0.90142	1	34	10	0	10	1	4	5	5	1	6	13	0	2	1	1	0	0	1	0	racemate	
fj}qB@DZmdDadTTVbJbTRRQFNBdmMUTtuSM@@@	121	289.353	289.353	289.159040	2.6792	-2.83	4	1	222.73	0.19252	46.39	-1.0052	0.45189	4.238	5.9289	none	none	none	low		0.52381	0.42335	0.83271	1	21	5	0	5	0	3	3	3	1	5	8	1	0	0	0	0	1	0	0		
fhyq@@DLTCHihhdicDaZdkpV``Xjhh@@	122	229.282	229.282	229.121512	2.0308	-2.697	4	2	176.5	0.30181	71.77	-1.4967	0.55792	4.8828	3.6399	none	none	none	none		0.52941	0.28798	0.79924	1	17	4	0	4	0	2	3	3	2	9	5	2	1	0	0	0	2	1	0		
fcq@@DDbAIeeU~Un}eZ\ehJU{ZfZj@Hj`@h@@@	123	373.498	373.498	373.215412	4.3729	-4.855	4	1	300	0.13187	44.7	2.3342	0.33857	2.5372	12.916	none	none	none	low		0.57143	0.45441	0.82538	1	28	4	0	4	0	6	4	4	2	12	8	2	0	1	0	1	0	0	0		
ffcQ@@DDAdTRbRRvTRTJirVhiZfZj`@jh@@	124	296.413	296.413	296.188863	4.2966	-4.427	3	1	243.7	0.14776	41.46	-2.8901	0.43068	2.61	9.9763	none	none	none	low		0.59091	0.48537	0.79871	1	22	3	0	3	0	5	3	3	1	6	9	0	0	0	0	0	0	0	0		
fa{pb@BNBihICHhheEibheDddrPmQsWlDECTtuSEP@@	125	327.358	327.358	327.138305	2.3119	-4.132	5	1	238.58	0.22047	61.77	0.19573	0.39459	4.5912	5.859	none	none	none	low		0.5	0.3944	0.86084	1	24	6	0	6	0	3	4	4	1	6	7	0	1	0	0	0	0	0	0		
el^ZLH@A@hbjnNg`ICHhheDXddmDeEDehedVIG@fimohTXHFJjijejjZhj`@@	126	481.570	481.570	481.248918	2.8429	-4.077	8	2	359.65	0.22425	94.11	3.548	0.27044	4.0567	10.512	none	none	none	high		0.54286	0.45757	0.88837	1	35	9	0	9	0	4	5	5	1	6	14	4	2	0	0	0	0	0	0		
fcpb@AIKqXHcHhheD]DeBheDddrSoU{O\DCD@EMMTpT@@	127	393.873	393.873	393.124404	4.3818	-5.632	5	2	294.55	0.20543	70.56	-0.18272	0.33788	2.5144	12.968	none	none	none	low		0.53571	0.40804	0.85664	1	28	6	0	6	0	4	4	4	2	12	5	0	1	0	0	0	0	0	0		
fcH`@DDKLF\bbTRRVtRTtLRRUNRtELumSMU@DMUUTP@@	128	380.490	380.490	380.221226	2.754	-2.866	6	1	296.07	0.18965	65.01	4.3525	0.33772	4.1388	8.1548	none	none	none	low		0.53571	0.45202	0.85046	1	28	6	0	6	0	3	4	4	1	6	12	0	1	1	1	0	0	1	0		
figq@@DDjAIeeU~UnyZ\ehJ^cZfZj@H@`h@@@	129	331.418	331.418	331.168462	3.6845	-5.043	4	1	260.94	0.18004	54.35	-0.74189	0.37806	3.2049	9.7459	none	none	none	low		0.52	0.39714	0.85083	1	25	4	0	4	0	3	4	4	2	12	6	0	0	0	0	0	1	0	0		
fj}H`@DDDTFTfVUWyWZgIZCEjYjh@Ij@@@	130	284.318	284.318	284.127326	0.6449	-3.032	6	3	214.13	0.3539	96.58	4.7039	0.44985	6.2412	1.4336	none	none	none	none		0.57143	0.42519	0.79764	1	21	6	0	6	0	3	3	3	1	6	4	2	1	0	0	0	0	0	0		
ebQZLH@A@hbjnNg`ICHhheDXddmDeEDehehbqHxDuMm|ccA@qUUMTmTCDAT@@@	131	489.549	489.549	489.217618	3.2865	-4.265	8	2	363.87	0.22165	94.11	7.5982	0.26229	3.5962	12.53	none	none	none	none		0.52778	0.47667	0.89959	1	36	9	0	9	0	4	5	5	2	12	9	2	2	0	0	0	0	0	0		
ek`RD@@DBHj`BdfVUWyV~ueZNIM@dmcfifj`BIj@B`@@@	132	388.470	388.470	388.189926	3.4791	-5.228	6	3	304.35	0.23647	82.59	0.306	0.32544	3.4003	10.69	none	none	none	low		0.58621	0.44537	0.82582	1	29	6	0	6	0	5	4	4	2	12	6	2	2	0	0	0	0	0	0		
edZ^D@@DBALjeg`BlbbTRRVtRTrabRRrTUGDf`TRvsTsUP@TuUUUUD@@@	133	467.616	467.616	467.300873	1.1121	-2.224	9	3	366.13	0.23606	106.3	9.0876	0.27745	5.764	4.0083	high	low	none	none		0.55882	0.50981	0.8737	1	34	9	0	9	0	7	4	4	1	6	16	0	1	3	2	1	0	2	0		
fbmI@@DLUxFQSQQISFIKPViJ|EhHFJjjJ`Z`@	134	272.351	272.351	272.163711	1.7418	-1.988	5	2	210.06	0.27049	75.01	4.9511	0.47144	5.1311	3.6946	none	none	none	none		0.55	0.35485	0.83059	1	20	5	0	5	1	3	3	3	2	9	8	1	1	1	1	0	2	2	0	racemate	
ek`RD@@DBHj`BlbbTRRVtRTvfTTLhxdtBRFfZfZj@HffjjD@@	135	390.485	390.485	390.205576	3.8471	-5.367	6	3	303.77	0.23692	82.59	-0.083307	0.32498	3.0226	11.838	none	none	none	low		0.55172	0.42727	0.84323	1	29	6	0	6	0	5	4	4	1	6	8	1	2	0	0	0	0	0	0		
fa{I@@DLUdFQSQQISFIKJIHViJCEoV``X`@`@H@@@	136	314.347	314.347	314.116761	2.7388	-5.044	5	2	240.74	0.26684	84.66	0.5625	0.3925	4.1277	6.9779	none	none	none	none		0.58333	0.36272	0.84087	1	24	5	0	5	0	3	4	4	4	21	0	2	1	0	0	0	3	1	0		
fcpb@NIKIXICHhdleMDeBheDdeQcoU{O\@EL@EMMTpT@@	137	377.418	377.418	377.153955	3.8766	-5.21	5	2	285.48	0.21196	70.56	-1.5581	0.33627	2.9867	11.528	none	none	none	low		0.57143	0.41431	0.84972	1	28	6	0	6	0	4	4	4	2	12	5	2	1	0	0	0	0	0	0		
fa{qA@KNzt@PZPRe^UmmUelDdkpRuiX@JZ``Z@@@	138	337.377	337.377	337.068510	3.5339	-6.361	4	2	244.27	0.30143	100.01	0.1664	0.39214	3.3262	9.0119	none	none	none	none		0.5	0.36106	0.8737	1	24	6	0	6	0	3	4	4	4	20	0	0	1	0	0	0	2	1	0		
fewH`@DDKtF\bbTRRVtRTtLRUNRtEHymSMU@DMUUD@@	139	352.437	352.437	352.189926	2.6337	-3.757	6	2	271.21	0.2362	73.8	2.2114	0.36181	4.2233	7.2793	none	none	none	low		0.53846	0.45848	0.84822	1	26	6	0	6	0	3	4	4	1	6	10	0	1	0	0	0	0	1	0		
fj}I@@DDcdFQQJIIKZIJETyKPXmSMU@AUP@@	140	284.362	284.362	284.163711	1.0378	-2.489	5	2	226.4	0.25813	66.38	0.16195	0.44775	5.8161	2.3178	none	none	none	low		0.57143	0.42944	0.80497	1	21	5	0	5	0	4	3	3	1	6	8	0	0	1	1	0	1	1	0		
eodRD@@DBNc`EdfVUWyV{V~vhxdtBRZFZfZj@H@Hfjh@@@	141	416.523	416.523	416.221226	3.2847	-4.935	6	2	327.71	0.19548	73.8	1.679	0.30318	3.5661	10.834	none	none	none	low		0.54839	0.4456	0.85449	1	31	6	0	6	0	6	4	4	2	12	9	1	1	1	1	0	0	1	0		
fnsp`@DDB@jSKJk{LkUNRtgKTsUTAAUP@@	142	313.400	313.400	313.179027	2.4117	-3.252	5	2	243.96	0.24627	74.58	-1.8989	0.40845	4.436	5.9046	none	none	none	low		0.47826	0.49897	0.82844	1	23	5	0	5	0	4	3	3	1	6	10	1	0	0	0	0	1	0	0		
fa{p`@DDJCNQQJIIKZIJZERgIZBeoVifj`BFjh`@@	143	323.395	323.395	323.163377	2.5968	-4.153	5	2	245.89	0.24609	70.56	0.64019	0.39125	4.2479	6.6371	none	none	none	low		0.54167	0.43574	0.82757	1	24	5	0	5	0	4	4	4	1	6	8	1	1	0	0	0	0	0	0		
egh\L@@DBF`LjlbbTRRVtRTtLrTRUGDf`RQusTsUPACMP@T@@@	144	401.465	401.465	401.173942	2.595	-4.858	6	2	310.64	0.23677	87.63	-3.2067	0.31286	4.2466	8.2944	none	none	none	low		0.56667	0.47276	0.84517	1	30	6	0	6	0	6	4	4	2	12	6	2	1	0	0	0	0	0	0		
eod\L@@DBB`LklbbTRRVtRTtJRbRrhxdtBRvNZfZj@HZh@Jh@@@	145	417.507	417.507	417.205242	3.8453	-4.842	6	2	328.91	0.21437	79.79	0.27399	0.30264	2.9933	12.706	none	none	none	low		0.6129	0.47019	0.83685	1	31	6	0	6	0	7	4	4	2	12	9	2	1	0	0	0	0	0	0		
fa{p`@KNzAnQQQJEKJIIJIRcEZ|DmVj`@fhHF`HHH@@	146	319.363	319.363	319.132077	3.0759	-5.21	5	2	240.25	0.276	88.84	-2.5149	0.39074	3.7597	7.872	none	none	low	high		0.54167	0.35537	0.84323	1	24	5	0	5	1	3	4	4	3	15	4	2	1	0	0	0	2	1	0	racemate	
fi{p`@DDb@jSKJk|k_]TyKPTmSMU@DSUT@@@	147	339.438	339.438	339.194677	3.5705	-4.333	5	2	266.56	0.227	70.56	-4.1793	0.37494	3.2622	9.5227	none	none	none	low		0.52	0.46038	0.81905	1	25	5	0	5	0	4	3	3	1	6	9	2	1	0	0	0	0	0	0		
eod\LH@EJnnCK`ICHhdlddihdhUDhddjFHdaecgh@JjX@JZZi`h@@	148	421.471	421.471	421.180170	3.5929	-4.953	6	2	323	0.2183	79.79	-2.2071	0.30224	3.2368	11.887	none	none	none	low		0.6129	0.48743	0.84556	1	31	7	0	7	0	7	4	4	2	12	8	2	1	0	0	0	0	0	0		
fcH`@DDKlF\bbTRRVtRTtJbRuNRtELumSMU@DM@AT@@@	149	374.443	374.443	374.174276	3.0985	-4.972	6	3	287.65	0.26345	96.58	-0.24887	0.33448	3.7283	9.2635	low	low	high	low		0.57143	0.4143	0.83644	1	28	6	0	6	0	4	4	4	2	12	5	2	1	1	0	1	0	0	0		
fnsPa@K^aT@QrPrRZIQGIQJIIJR`iJuhJ@iijfJ`B`@	150	334.414	334.414	334.115126	2.7317	-3.521	4	1	245.25	0.23947	77.74	-2.0377	0.40703	4.0922	6.7114	high	none	low	low		0.56522	0.44185	0.83766	1	23	6	0	6	1	4	3	3	1	6	8	0	0	0	0	0	0	0	0	racemate	
eghZDH@A@bjnnC`ICHhheDTdhhdeDddTqHuMtMm]A@qUTuTuTqU@YP@@	151	413.495	413.495	413.222703	1.8821	-4.133	7	4	316.44	0.26365	94.62	3.5171	0.31192	4.9389	6.0339	none	none	none	none		0.53333	0.46715	0.86525	1	30	8	0	8	1	5	4	4	1	6	12	0	1	1	1	0	0	1	0	racemate	
ffcpb@AF]phICHhheETheDddrWhykA@qSSULT@@	152	301.320	301.320	301.122655	1.8164	-3.787	5	2	222.78	0.28872	84.55	-1.6794	0.42517	5.0018	4.2722	none	none	none	low		0.5	0.42978	0.84127	1	22	6	0	6	0	3	3	3	1	6	5	0	1	0	0	0	0	0	0		
eodVLH@A@djfinAk`ICHhheDXdddhlhhdbfI@hnecghHFJjjZiZibh@@	153	428.467	428.467	428.197217	1.2183	-3.284	9	3	314.13	0.30535	120.13	5.7902	0.30161	5.597	4.0394	none	none	none	none		0.51613	0.47537	0.88608	1	31	10	0	10	0	3	4	4	1	6	9	0	3	0	0	0	0	0	0		
ehRZDH@A@hbjnG`ICHhheDXddmDeEDdiefIG@fimohHFJjijfjjZJ`@@	154	455.576	455.576	455.269653	3.3348	-3.847	7	2	349.64	0.19337	77.04	8.2613	0.28321	3.4777	11.775	none	none	none	none		0.54545	0.50458	0.87987	1	33	8	0	8	2	6	4	4	1	6	15	2	1	1	1	0	0	1	0	unknown chirality	
el^ZLH@A@djfnAo`ICHhheDXdddhlhhdmDlfI@hnec`XTXHFJjjZiZjfhj`@@	155	481.570	481.570	481.248918	2.8429	-4.077	8	2	359.65	0.22425	94.11	3.7926	0.26692	3.9668	10.651	none	none	none	none		0.51429	0.44949	0.89639	1	35	9	0	9	0	4	5	5	1	6	14	2	2	0	0	0	0	0	0		
eghVDH@BCKLfniC`ICHhhdmEheEEEULddpIETMMm]AACUUTuSTqT@@@	156	414.483	414.483	414.217952	1.154	-2.582	8	3	308.82	0.25604	89.07	6.7415	0.31127	5.6529	3.7073	none	none	none	none		0.5	0.41725	0.86525	1	30	9	0	9	0	4	4	4	1	6	12	3	1	0	0	0	0	2	0		
eod^LH@HIEKBjgfCK`@cIEDhcMihdlhddheJAHdfnmcjjZjZjijBAjBCb`@	157	445.546	445.546	445.189608	0.7053	-3.422	10	4	324.11	0.40317	175.74	4.0634	0.30111	6.0988	2.3423	high	none	none	none	methanediamine	0.58065	0.47268	0.85945	1	31	11	0	11	1	4	4	4	2	9	12	2	3	0	0	0	2	2	0	racemate	
fa{p`@DDbBjSKJk|k]sSdmARwkTsUPAEMTP@@	158	323.395	323.395	323.163377	2.5531	-4.088	5	1	245.99	0.21383	61.77	2.0137	0.38878	4.2482	6.567	none	none	none	low		0.5	0.39248	0.83562	1	24	5	0	5	0	3	4	4	1	6	8	0	1	0	0	0	0	0	0		
figp`@DDJCNQQJIIKZIJZFJTyKPT}FuLuT@PuUQ@@@	159	337.422	337.422	337.179027	2.8633	-3.791	5	1	256.99	0.20468	61.77	1.1853	0.37307	3.9353	7.6749	none	none	none	low		0.52	0.47017	0.83644	1	25	5	0	5	0	4	4	4	1	6	9	1	1	0	0	0	0	0	0		
fbmqA@EFldFHRPRYgueeUYqwhy``JZfib`@@	160	338.179	338.179	337.022601	2.3836	-4.091	4	2	212.84	0.22303	53.49	1.2468	0.46616	4.4123	5.1133	none	none	none	none		0.55	0.38282	0.82043	1	20	6	0	6	0	2	3	3	1	6	4	0	0	0	0	0	0	0	0		
ffcH`@DLTXA\bfbbRfLTRRPmRUfkPPLUUUQP@@	161	302.377	302.377	302.174276	1.6477	-3.59	6	3	234.43	0.29826	95.24	-1.657	0.42361	5.1455	3.8897	none	none	low	none		0.5	0.45486	0.82538	1	22	6	0	6	0	5	3	3	2	9	9	2	1	0	0	0	2	1	0		
figqB@A^ctDadTTRTrbUbTRRSNZldkQpDEUTtuSETJD@@	162	341.429	341.429	341.190340	3.2411	-3.669	4	1	259.35	0.15254	44.7	1.9174	0.37263	3.5494	8.6979	none	none	none	low		0.48	0.38488	0.87558	1	25	5	0	5	1	3	4	4	1	6	11	0	0	1	1	0	0	1	0	racemate	
ehRVBH@ACHjf`^Lko`ICHhheDTheMDdidddmFIKONimghHFJjifijifJhEB@@	163	456.476	456.476	456.192132	0.4907	-3.495	10	4	331.78	0.35225	145.99	5.7665	0.28218	6.2971	1.7389	none	none	none	none		0.54545	0.48181	0.89202	1	33	11	0	11	1	8	4	4	1	6	9	0	3	0	0	0	0	0	0	racemate	
eghRLH@BHbjiNc`IAIfUyyUgYUUXDBrZFVn``ahHFJZjXJ@@@	164	408.432	408.432	408.159769	2.7359	-4.787	7	3	305.44	0.26837	91.82	3.3361	0.31028	4.0493	8.8175	none	none	none	none		0.56667	0.41196	0.86289	1	30	8	0	8	0	5	4	4	2	12	6	2	1	0	0	0	0	0	0		
ek`ZDH@AHljfnM`ICHhheDXeDeeBhddfIHdnaechHFJjjfijXj`Th@@	165	399.468	399.468	399.207053	1.8559	-3.479	7	3	300.02	0.25172	85.83	5.5453	0.32086	4.9266	5.7842	none	none	none	none		0.48276	0.45014	0.88286	1	29	8	0	8	1	3	4	4	1	6	11	0	1	1	1	0	0	1	0	racemate	
fmopb@AQsrXICHhheDXddmLhddfR\DkQk``XjjffjXj@@	166	369.439	369.439	369.185255	3.5674	-4.297	5	1	279.86	0.18795	61.77	1.3281	0.34449	3.2125	10.356	none	none	none	low		0.51852	0.44672	0.86592	1	27	6	0	6	0	3	4	4	1	6	10	2	1	0	0	0	0	0	0		
ehRRD@@DBHk`BlbbTRRVtRTvfTRTLVhxdtBRVvZfZj@Hf`@jj``NH@@	167	444.577	444.577	444.252526	3.8233	-5.108	6	3	355.13	0.20266	82.59	1.1555	0.28175	2.954	13.57	none	none	none	low		0.57576	0.47539	0.85592	1	33	6	0	6	1	8	4	4	2	12	11	0	1	1	1	0	0	1	0	racemate	
ehRZDD@FICNigO`I@bPrJJKYIIJZIJEQJIIIccHiXyxFB@jjX@JZZi`h@@	168	453.492	453.492	453.197631	2.1732	-4.354	7	3	343.33	0.24158	95.48	-0.59325	0.28164	4.6015	7.7163	none	none	none	low		0.60606	0.5143	0.8577	1	33	9	0	9	0	8	4	4	2	12	9	0	1	1	1	0	1	1	0		
ehR\L@@DBB`LolbbTRRVtRTtJRTRTvhxdtBRNnZfZj@HZj@Bj`@@@	169	445.561	445.561	445.236542	4.6436	-5.456	6	2	354.93	0.19866	79.79	-1.0163	0.28153	2.1285	16.494	none	none	none	low		0.60606	0.49599	0.84822	1	33	6	0	6	0	8	4	4	2	12	11	0	1	0	0	0	0	0	0		
fakp`@DDJCNQQJIIKZIJZERgIZBejYjh@ajj@@@	170	325.411	325.411	325.179027	2.8327	-4.067	5	2	256.39	0.23601	70.56	0.87926	0.38696	3.9369	7.3204	none	none	none	low		0.54167	0.45662	0.82405	1	24	5	0	5	0	4	3	3	1	6	8	1	1	0	0	0	0	0	0		
e`RZD@@DBHic`BdfVUWyV~v[^ZNIM@daegofifj`BIijjja`@@	171	431.538	431.538	431.232125	2.6899	-4.19	7	3	329.06	0.2295	85.83	2.4284	0.29011	4.0771	9.272	none	none	none	low		0.5625	0.42604	0.8737	1	32	7	0	7	0	7	5	5	1	6	12	1	1	0	0	0	0	2	0		
fmoH`@DDldCTfVUWyUvYVgIZCDZvifj`@hHHh@@@	172	362.432	362.432	362.174276	3.1418	-4.209	6	2	282.4	0.24235	75.61	-0.55699	0.34371	3.6227	9.141	none	none	none	low		0.51852	0.42659	0.85376	1	27	6	0	6	0	5	4	4	2	12	7	0	0	1	0	1	1	1	0		
fluQB@IZbBHrJJIHqJIIIgCNBf@`ffjXh@@	173	274.750	274.750	274.087290	3.2343	-4.12	3	1	205.58	0.17516	41.46	-0.64512	0.48824	3.5277	6.6244	none	none	none	low		0.52632	0.37278	0.82043	1	19	4	0	4	0	2	3	3	1	6	5	0	0	0	0	0	0	0	0		
figqB@OQStD`dsKNk|ljkIZmdkQpP@ADuMSAP@@	174	335.381	335.381	335.143390	3.3176	-5.343	4	2	253.97	0.18691	53.49	3.0368	0.37093	3.4419	8.9441	none	none	none	none		0.52	0.38999	0.85083	1	25	5	0	5	0	3	4	4	2	12	4	2	0	0	0	0	0	0	0		
eghZL@@DBHfa`MclbbTRRVtRTvbRtTMGDf`RSWSTsUPADtuMTP@@	175	407.473	407.473	407.195740	2.6018	-6.473	8	2	313.15	0.25844	87.96	-1.1815	0.30899	4.1552	8.4203	none	none	none	low		0.56667	0.47302	0.85945	1	30	8	0	8	0	6	4	4	2	11	8	0	0	1	0	1	1	0	0		
ek`\L@@DBF`LjlbbTRRVtRTtLrbRhxdtBRvNZfZj@HYh@J@@@	176	387.438	387.438	387.158292	2.8856	-5.042	6	2	296.88	0.24774	87.63	-3.5417	0.31953	3.8689	9.0308	none	none	none	low		0.55172	0.4462	0.8467	1	29	6	0	6	0	5	4	4	2	12	5	2	1	0	0	0	0	0	0		
fnkh`@DLTVhLyEMEDeLXdlhdKTeAcUkPPLP@TtP`@@	177	305.296	305.296	305.091275	1.9191	-5.68	7	2	229.19	0.38972	110.69	1.5784	0.40274	4.8329	4.7651	none	none	none	none		0.56522	0.36042	0.83644	1	23	7	0	7	0	3	4	4	4	20	0	2	1	0	0	0	4	1	0		
